pc1, pc2 ,class
0.16808,0.471315,5
3.586282,1.846359,0
-0.366825,-5.09681,4
-1.766161,3.31801,1
-1.122251,-1.220726,9
1.328479,-0.348483,2
-3.743947,-1.558661,1
0.344759,0.431178,3
-4.521898,-1.044931,1
-1.072732,1.117336,4
0.406965,0.381744,3
-0.277629,3.98751,5
0.542459,-0.743746,3
1.774789,0.774248,6
-4.494887,-0.187213,1
-1.460958,0.877125,7
1.013353,0.183114,2
-0.255875,1.536146,8
1.328734,0.927345,6
-1.442914,1.040261,9
0.031599,-4.572362,4
3.408561,1.71596,0
-1.161274,0.903326,9
-1.794019,3.370498,1
0.510283,0.883287,1
0.785734,-0.639405,2
-1.28125,-0.952121,4
0.543759,-0.160332,3
0.627446,-0.978904,2
-1.09169,2.021719,7
0.252597,-1.651373,3
-0.50987,1.709962,8
1.610937,0.595568,6
-1.394298,1.394672,9
1.031879,1.310291,0
0.069835,3.056332,5
1.646143,0.822948,6
2.556198,1.965064,0
-0.611213,-2.363897,7
1.146581,0.567291,6
-3.388813,0.881732,1
0.035201,0.872063,8
-2.200975,-0.309517,7
-1.373463,0.548063,9
-0.051931,-1.409457,3
-1.247079,-0.445409,9
-0.193111,-0.166141,8
0.263651,2.050815,5
0.094308,-0.455549,9
0.344728,0.38997,3
0.464593,0.072731,3
4.322708,0.932644,0
-1.806173,-1.100003,7
-1.11935,1.887891,4
-1.405609,-0.585506,9
-0.335105,0.683716,8
4.205609,-0.144981,0
-1.370159,0.355973,9
-0.700464,-3.377227,4
-2.060357,3.684891,1
1.231082,-4.546763,4
-0.73154,1.920914,4
1.005055,1.002941,6
1.790633,0.849364,0
-0.211975,-0.632545,4
-0.439609,3.866242,5
1.558607,1.545388,6
-2.093278,1.736962,1
3.812697,-2.174215,0
2.302215,0.421681,0
-0.264183,-0.341156,1
-1.490661,1.642681,7
-4.306126,0.855386,1
1.622655,0.939744,6
0.131966,-0.250268,3
2.179121,1.471557,0
0.886367,-1.161811,2
-2.307503,3.334689,1
-1.92005,2.349586,1
-1.448493,1.940919,7
0.729866,-0.228648,9
2.215743,1.506133,0
1.073406,-0.533296,2
1.940814,0.660519,6
-1.970292,-1.183018,7
-0.030603,0.796649,8
0.529174,-2.082541,3
-1.170677,0.346138,9
4.122533,-0.595683,0
-1.01979,0.745524,4
1.86855,0.753372,6
-1.522323,0.664184,7
-0.849001,-3.374292,4
1.887786,1.022648,6
-0.319576,0.795364,8
2.839354,1.25461,0
-1.955857,0.153407,7
-0.206172,0.881602,8
0.269526,-0.138636,3
-2.186119,2.664659,1
-0.297988,-1.94763,5
-1.773191,-0.170237,7
-4.609403,0.51122,1
-1.647437,0.355349,7
-3.82306,-1.885501,1
-2.399187,2.709911,1
1.327587,0.4926,6
0.518191,0.616015,3
3.794422,-2.190963,0
1.141437,-3.115499,2
-0.714092,-3.863187,9
0.354558,-0.52683,3
-3.809151,0.777793,1
-1.687432,3.195995,1
4.545945,0.617844,0
-1.142864,0.428518,4
-1.163461,-1.798661,9
1.223655,-0.733169,2
3.050177,0.511392,0
3.954363,2.386004,0
0.233488,-1.098207,2
6.364359,0.170876,0
1.264511,-0.128072,2
-1.550905,1.216354,7
-3.880176,1.925555,1
0.182113,0.864102,8
1.398513,0.285406,6
-0.509337,2.087661,4
-3.128198,0.266696,1
1.273235,1.68866,6
0.288906,-0.231957,3
-0.887496,0.894106,4
-0.573319,0.428553,5
-1.487579,-0.10379,9
-0.18665,-3.551319,1
0.449346,0.633394,3
0.29454,-0.786613,3
-1.024805,1.49027,8
0.598458,0.19238,5
-0.851154,0.366548,4
-1.247609,0.787072,7
-1.422665,2.347011,7
-0.905873,-1.4368,4
1.31877,-1.491558,2
-0.124898,-0.969374,8
-0.031172,2.936444,5
-0.020507,1.198129,8
1.627006,0.953233,6
-0.86811,0.235588,7
0.251947,-0.615051,3
-0.869986,-0.739288,4
1.580772,0.936776,6
-3.160393,1.839219,1
-1.338869,0.739454,9
-1.452648,-1.689943,9
1.609979,1.258438,6
5.72861,1.573822,0
0.564577,0.70806,3
0.211198,-4.475144,7
1.24416,-0.923803,2
-0.306335,-0.30016,8
1.019301,-0.491976,2
-1.280849,-1.967625,9
-0.883966,1.522733,4
-0.172605,-4.859597,4
1.552222,1.160774,6
-1.065153,0.007009,4
-1.291604,0.356276,9
-1.34259,0.652291,7
2.503745,1.174617,0
-1.257115,-2.211158,9
1.097098,-0.838081,2
-1.523299,-1.262341,9
-0.116287,3.177769,5
-3.451361,1.392842,1
0.183025,2.368503,5
-1.48264,-2.297898,9
-2.140594,2.180624,1
0.831686,1.490027,2
0.491417,0.237609,3
0.427164,0.103205,2
0.09106,0.774572,3
0.521332,-0.486738,5
-1.375611,0.053422,9
-3.758947,-0.900074,1
-1.672478,0.39001,7
2.15561,-0.642988,6
1.470639,-0.468291,2
-0.296977,-0.491719,8
1.324217,-1.123828,2
1.49806,-0.664968,2
0.053801,3.04146,5
3.004423,0.795808,0
-1.435225,1.13973,7
-0.699863,-3.012475,4
-1.458927,0.731756,9
-1.933418,-3.96221,7
-0.301205,1.425277,8
0.56035,-0.854745,3
1.37896,-0.64669,2
-3.241222,-1.018745,1
-1.790986,3.343902,1
0.159183,1.258198,8
0.266925,0.634147,3
1.550335,0.862982,6
-1.912965,3.863691,1
5.389931,-0.260615,0
0.165599,1.100493,3
-2.475795,1.39372,1
4.877046,-0.823486,0
2.528676,-0.01487,0
-2.583243,1.351522,1
-2.961377,-1.41113,7
1.410737,-0.409207,2
-2.089938,-2.854564,7
0.554597,0.246572,3
2.402478,-0.092505,0
-0.898607,-1.369077,4
1.844943,0.189392,6
0.442512,1.090924,5
1.15506,-0.809691,2
1.965087,0.123121,6
0.0893,-5.596108,4
-1.539407,0.422664,7
0.776689,0.385171,1
0.479013,1.056914,8
-1.332283,-2.66566,9
-1.3471,-0.320291,9
-0.290055,-3.142342,3
4.698909,-0.579381,0
-1.611824,1.182845,7
-2.738475,1.715474,1
1.792495,0.76084,0
0.907565,0.892968,2
2.553222,0.346768,0
0.585575,0.558606,3
0.178654,0.994847,5
-0.919876,-1.288753,4
0.998342,-0.189411,6
0.446643,1.315558,5
-0.330746,-0.027853,8
2.378062,-0.735354,6
0.780667,0.278687,3
-1.79225,-0.100679,7
0.274447,-0.854297,5
0.105727,0.813648,8
4.754597,-1.308608,0
-1.372197,-0.189521,9
-2.876472,-2.031537,1
4.727701,-1.285476,0
0.624518,-1.102378,3
-2.582681,1.432918,1
1.340217,-1.408713,2
0.919941,0.499195,2
0.38095,-0.418999,3
0.425231,0.710044,3
0.494683,2.614703,6
-0.843167,0.036477,4
-1.883036,0.427605,7
0.609374,1.22205,5
4.077398,-0.345773,0
1.612606,0.84923,6
2.139919,0.329405,2
-1.727476,0.116767,7
0.013765,-3.913233,9
-0.079444,0.811648,8
0.381432,-0.43166,5
-1.337072,-0.664121,9
0.72993,-0.964326,2
-2.71202,2.576572,1
-4.211707,2.463689,1
-1.110753,-0.333824,4
-1.287886,-0.964526,4
0.548302,1.412353,5
0.638529,2.002022,6
-1.019362,-0.33256,4
-3.49967,1.744145,1
1.198308,-0.294601,2
0.85725,0.541345,5
0.408212,0.470742,3
-1.440458,-0.181234,9
0.582661,0.325829,3
-1.100584,-4.467612,9
4.568462,-0.454449,0
0.397802,-1.129112,5
-1.344643,-0.248628,9
1.890293,0.259005,6
0.605664,1.981287,5
-1.970174,-0.822641,7
-1.056498,-0.115995,4
-2.881643,2.371974,1
0.610552,0.842146,3
-0.898822,-1.292208,4
3.955526,0.586746,0
0.476346,-5.240424,4
0.070042,0.943867,8
2.941356,0.04814,0
-0.915125,0.009373,4
0.429293,-0.734921,3
1.853781,-0.211606,6
-0.233387,0.699481,8
-1.688048,0.354051,7
1.339924,1.712337,6
3.295119,1.199064,0
-1.638121,-2.33244,9
-1.540789,0.924835,7
0.54919,-0.518557,5
-1.653347,0.634447,7
1.280646,-0.610587,2
-2.6028,3.208887,1
-3.727826,0.889577,1
1.861814,0.720247,6
-0.205276,-0.198975,8
-1.280953,0.28193,9
-0.425879,-2.711257,4
-2.139584,2.933513,1
0.325478,-1.221674,5
0.921908,0.551098,2
0.997939,-0.657026,2
-1.288747,0.63986,9
2.625241,0.512611,0
0.525721,0.585106,3
-0.596479,-3.372599,9
2.030866,-0.058883,6
-0.86153,-1.365811,7
0.617552,0.419059,2
3.296727,0.960077,0
0.607682,0.785648,3
0.1236,0.486447,5
-0.871783,0.181327,4
0.458824,0.026745,3
1.738931,0.906815,6
0.286656,-0.028078,5
0.148477,-0.174322,8
-0.604471,-2.539204,9
0.37614,1.567684,5
-1.153944,-1.084549,4
-1.574356,0.613847,7
-0.989228,-1.44305,4
1.042337,-0.374552,2
-0.441937,-1.533533,7
0.700572,0.499012,3
-1.389057,-0.52043,4
0.180938,1.273984,8
-1.138512,-2.626475,9
-2.165517,2.906871,1
0.069559,0.465791,9
1.140502,0.020934,2
0.332033,0.385049,8
-1.683866,0.356893,7
-1.006898,-2.264532,9
-1.724492,2.665296,1
0.389578,-0.565146,8
-1.850207,0.7897,7
-1.326763,-2.260051,4
-1.704912,3.086704,1
0.045955,-0.29875,3
-1.826256,2.567304,1
-3.882629,-1.018316,1
3.955575,0.947938,0
0.814689,-1.138302,2
0.24307,0.532973,3
-1.123154,-1.156746,9
-1.235796,1.326997,4
-1.071981,-0.4185,9
0.880487,0.091815,2
-3.976393,1.206298,1
2.128751,0.464447,6
-0.116799,0.576163,8
-1.087669,-0.625027,4
-2.769309,-0.0269,7
-1.637514,-0.149967,7
-0.962252,-1.540098,4
-1.115724,0.641449,4
-0.793545,-2.58689,9
1.432062,0.070913,2
0.209592,0.060398,5
-1.620289,0.517827,7
1.462921,-0.848224,2
-1.195318,1.164838,4
0.104249,-4.368353,4
1.113806,0.443987,2
-3.530454,0.192769,1
-1.20319,0.313385,9
-0.974427,-2.230426,7
1.181204,0.104522,2
0.326528,-1.027018,8
-1.659043,0.685064,7
0.970774,0.677693,6
-1.262943,0.035828,9
0.788131,-0.252516,2
0.854482,1.520984,2
0.296953,-1.036375,3
-0.237611,1.539123,8
-2.284323,-0.914306,1
2.02506,0.97213,6
0.26717,0.560726,5
-1.956674,3.602879,1
-4.315204,-0.08927,1
3.654564,2.010361,0
1.382383,-1.403588,2
1.467041,1.237463,6
-0.945545,-0.940326,4
0.542232,1.210668,5
0.330642,-0.908827,8
0.559996,0.415644,3
-3.253638,-1.44046,1
0.646552,1.276977,5
-3.653217,1.235626,1
-1.321959,0.299343,9
1.361597,-1.421355,2
-1.600984,1.246895,7
-1.435743,-0.291135,4
-1.127063,-0.031869,4
-0.610203,-1.412425,4
-0.310515,1.884278,8
-1.784389,2.199941,1
0.256171,2.8801,5
-0.244526,3.004469,8
-1.355006,0.366112,9
-0.941304,0.083932,5
1.726879,0.890324,6
-2.018865,0.033379,7
-1.446507,0.612993,9
-0.590447,-4.37858,9
0.63305,0.896346,3
-1.823248,-1.810592,7
3.458319,1.659078,0
-1.244285,-2.742844,9
4.672802,-0.000839,0
1.318815,0.781883,6
1.677145,0.543329,6
1.379496,-0.538821,2
0.439659,0.590588,3
-0.528287,-4.295159,9
5.597259,0.233173,0
-1.345471,-1.170932,7
0.506047,1.377171,5
-0.746623,-2.696403,4
-0.00716,1.304225,8
3.865856,-0.995861,0
-1.486921,-0.197708,9
-0.862385,-1.382928,4
-1.782337,3.287704,1
-0.490488,-1.52463,2
-0.219103,0.887651,8
0.123478,-2.502208,7
-1.852374,3.528232,1
0.406599,1.262377,2
1.658046,1.138166,6
-3.162384,1.114799,1
2.482653,0.598417,0
0.745061,-0.503811,3
5.131288,2.560866,0
-4.402322,0.375853,1
-2.113212,3.054698,1
-0.221801,0.774337,8
0.379183,1.394928,2
4.354928,-0.101243,0
-0.019587,-0.48004,3
-0.814423,-3.018935,9
-0.812433,-0.02862,4
4.704749,0.357841,0
0.00323,3.153836,5
4.083392,-1.925495,0
1.65907,0.997513,6
-2.740948,2.780278,1
-1.138055,0.939324,7
0.614697,-4.161791,7
-0.355019,1.180574,8
-0.675913,-0.445636,1
-1.479781,1.350534,9
-0.481089,-0.034536,2
4.741164,2.810791,0
0.245533,0.646961,5
-1.867838,4.160239,1
1.073257,-1.64508,2
0.790019,1.050966,2
-0.958066,-0.531982,7
0.334691,0.113109,3
-0.134726,-0.110872,5
-0.836607,1.096171,4
-1.11003,-0.78115,9
-0.768921,1.341858,7
-4.43541,0.378145,1
-0.264956,1.625026,8
0.362399,-0.94651,3
-1.146318,1.925085,9
1.679807,-1.439234,6
4.439251,2.22079,0
0.551589,-0.257286,3
-1.304912,4.22505,1
-1.9054,2.537673,1
0.325684,1.658167,2
3.906136,-0.871052,6
0.53679,-0.30029,3
0.663663,0.837307,5
-0.758381,2.113425,7
1.516922,1.012706,6
-0.157951,1.400497,8
0.059607,-1.700146,3
-1.243567,2.386374,9
-0.101715,-0.207079,5
0.080221,2.204936,8
0.50547,-0.488757,5
-1.719218,0.497995,7
0.546449,-2.222684,6
-1.709934,3.65281,1
-1.816908,3.949123,1
-0.300193,1.38203,3
-2.963936,2.971801,1
-1.483792,2.573764,7
0.052039,0.075158,5
0.241455,2.680966,5
0.516115,0.508004,5
1.227537,0.392947,2
0.272161,-1.341333,5
0.098495,1.059494,8
-0.350668,-1.136945,7
3.272765,2.196154,0
-1.02237,-2.271326,9
-1.445924,1.165707,7
-1.834833,-0.226544,7
0.031159,3.136375,5
3.946035,-0.421123,0
-1.25707,1.193533,9
4.239156,-0.665746,0
1.725228,2.471727,0
1.021996,-1.154262,8
-0.983376,2.182992,9
1.184324,-0.652652,2
-0.378401,1.148316,4
-0.058419,-0.855785,8
-1.171945,4.201235,1
2.023815,-0.31753,6
-1.336628,3.946012,1
1.602384,0.103345,6
0.48474,2.148352,5
-2.932056,3.324357,1
0.004724,0.521494,8
-0.296098,0.050337,3
-0.987029,0.834209,4
2.23846,0.79979,0
0.037469,1.76779,5
0.546324,-0.329582,5
-0.028324,1.133425,8
0.683628,-0.080235,3
-0.173815,1.391234,6
1.137631,-0.236469,2
0.361178,0.919299,3
-0.880848,-2.52138,9
0.79049,0.963975,2
-0.586781,1.605271,1
-2.13057,3.957352,1
0.19034,-1.234099,5
0.445181,1.141285,2
-3.043773,0.069818,1
0.524007,0.636056,3
0.586882,-3.365184,2
0.224976,1.489328,8
-1.821211,1.098987,7
0.518181,1.144685,3
-1.769246,-1.443294,7
0.193546,1.394307,2
-0.993704,-1.078614,4
1.541888,1.002858,6
-1.248244,-1.964681,9
-1.504683,1.542114,7
0.439221,0.562169,2
-0.639483,1.668037,4
1.26813,-1.060621,2
-0.133514,1.157647,8
-3.002205,0.379635,1
-1.875031,3.322928,1
-0.157317,0.386866,3
-0.349097,1.951453,8
-1.447167,-2.924441,4
4.091496,2.572408,0
1.034875,0.159502,6
-0.252719,2.243461,5
-1.154793,-2.108011,9
0.204618,1.151856,3
2.452708,0.063077,0
-1.301717,1.989981,9
1.131325,0.022352,2
-1.012622,0.414644,4
-1.360651,1.550184,7
-1.472868,4.330104,1
-1.595937,0.95032,2
-1.08029,1.64455,9
-1.148154,-0.853207,4
1.211909,0.625153,2
2.025247,-1.172398,6
-1.729098,4.028405,1
0.392448,-0.284651,8
-1.301194,1.689403,9
3.322709,-0.81212,0
1.603668,2.184135,6
2.391881,0.569951,6
-1.39418,1.617206,7
-1.303334,-0.712884,9
-1.180929,2.098258,9
0.415965,-0.327706,8
2.388173,3.108158,0
-3.303531,2.35562,1
-0.3872,1.925642,4
0.690681,-4.863869,4
1.640901,1.597483,6
-1.171442,-3.614836,7
-2.081142,3.51633,1
-0.856669,-3.521266,5
-1.356449,2.674317,7
3.013769,-0.059549,0
-0.30635,0.487225,3
0.661637,1.623788,5
-0.437136,1.198615,8
-0.556149,-3.477359,4
-1.568357,1.482569,7
-4.356867,-0.496454,1
0.113796,2.208693,2
0.281504,-0.986532,5
-1.17275,0.710571,9
0.349559,-0.135859,5
0.60058,2.271165,6
-1.491484,0.127838,7
0.311526,0.758191,5
-0.889225,-0.04307,9
0.315562,0.493689,8
-0.002519,-0.930232,8
0.288665,0.715225,3
0.905699,0.871941,6
-0.994352,2.496922,9
-1.764473,-1.252247,7
2.480907,1.993683,0
